File Path: E:/Data/Sample_Input/DE_Sample/GSE108643_Cuffdiff.txt
Query:     LPE*LPO:UP-AND-OPE*OPO:UP

Number of rows in LPE*LPO: (100)
Number of rows in OPE*OPO: (100)

test_id	gene_id	gene	locus	sample_1	sample_2	status	value_1	value_2	log2(fold_change)	test_stat	p_value	q_value	significant
SLC19A2	SLC19A2	SLC19A2	chr1:169463910-169485970	LeanPre	LeanPost	OK	30.4226	119.169	1.96979	9.62193	5e-05	0.00124739	yes
SLC20A1	SLC20A1	SLC20A1	chr2:112645856-112663823	LeanPre	LeanPost	OK	3.8105	11.756	1.62534	6.61687	5e-05	0.00124739	yes
SLC25A25	SLC25A25	SLC25A25	chr9:128068199-128109258	LeanPre	LeanPost	OK	9.5042	58.382	2.61889	12.1446	5e-05	0.00124739	yes
SMAD7	SMAD7	SMAD7	chr18:48919852-48950711	LeanPre	LeanPost	OK	3.50491	8.38026	1.25762	4.44795	5e-05	0.00124739	yes
STK38L	STK38L	STK38L	chr12:27244144-27325957	LeanPre	LeanPost	OK	4.74765	11.1018	1.22551	5.46308	5e-05	0.00124739	yes
TAGLN	TAGLN	TAGLN	chr11:117179222-117204792	LeanPre	LeanPost	OK	30.6364	65.3838	1.09369	3.60076	5e-05	0.00124739	yes
TBX3	TBX3	TBX3	chr12:114670253-114684164	LeanPre	LeanPost	OK	1.80307	5.91782	1.71461	6.46583	5e-05	0.00124739	yes
TES	TES	TES	chr7:116210492-116258783	LeanPre	LeanPost	OK	1.98898	4.94279	1.3133	4.23755	5e-05	0.00124739	yes
THBD	THBD	THBD	chr20:23045632-23049664	LeanPre	LeanPost	OK	3.00045	9.86914	1.71775	6.94626	5e-05	0.00124739	yes
TNFRSF12A	TNFRSF12A	TNFRSF12A	chr16:3020311-3022382	LeanPre	LeanPost	OK	4.93388	19.2755	1.96598	6.1533	5e-05	0.00124739	yes
TPM4	TPM4	TPM4	chr19:16067506-16103003	LeanPre	LeanPost	OK	11.8407	52.1205	2.1381	9.89459	5e-05	0.00124739	yes
TSC22D2	TSC22D2	TSC22D2	chr3:150408334-150460118	LeanPre	LeanPost	OK	2.29806	5.1294	1.15837	4.50904	5e-05	0.00124739	yes
VASP	VASP	VASP	chr19:45507429-45526982	LeanPre	LeanPost	OK	2.63297	8.64163	1.71462	5.85268	5e-05	0.00124739	yes
VEGFA	VEGFA	VEGFA	chr6:43770208-43786486	LeanPre	LeanPost	OK	52.143	143.345	1.45895	7.01169	5e-05	0.00124739	yes
VGLL2	VGLL2	VGLL2	chr6:117265557-117273565	LeanPre	LeanPost	OK	49.2763	132.005	1.42163	6.87687	5e-05	0.00124739	yes
XIRP1	XIRP1	XIRP1	chr3:39183214-39192596	LeanPre	LeanPost	OK	43.0254	89.3148	1.05371	5.14986	5e-05	0.00124739	yes
ZBTB10	ZBTB10	ZBTB10	chr8:80485618-80526265	LeanPre	LeanPost	OK	2.56714	6.31018	1.29752	5.75421	5e-05	0.00124739	yes
ZCCHC2	ZCCHC2	ZCCHC2	chr18:62523424-62586743	LeanPre	LeanPost	OK	2.94006	7.59153	1.36855	5.75922	5e-05	0.00124739	yes
ZYX	ZYX	ZYX	chr7:143381266-143391111	LeanPre	LeanPost	OK	9.63485	26.8437	1.47825	6.53593	5e-05	0.00124739	yes

ABHD2	ABHD2	ABHD2	chr15:89088149-89202360	OvobPre	OvobPost	OK	3.02455	7.13626	1.23845	5.40838	5e-05	0.00124739	yes
ABRA	ABRA	ABRA	chr8:106759482-106770244	OvobPre	OvobPost	OK	68.9451	266.804	1.95226	9.31217	5e-05	0.00124739	yes
ACTA2	ACTA2	ACTA2	chr10:88932683-89015785	OvobPre	OvobPost	OK	25.1945	77.0948	1.61352	6.96469	5e-05	0.00124739	yes
ACTG1	ACTG1	ACTG1	chr17:81509970-81512866	OvobPre	OvobPost	OK	88.3903	182.336	1.04464	5.11497	5e-05	0.00124739	yes
ACTN1	ACTN1	ACTN1	chr14:68874122-68979366	OvobPre	OvobPost	OK	1.87099	4.37434	1.22526	4.25748	5e-05	0.00124739	yes
ADAMTS1	ADAMTS1	ADAMTS1	chr21:26836286-26845409	OvobPre	OvobPost	OK	5.71019	22.62	1.98599	9.06977	5e-05	0.00124739	yes
ADAMTS9	ADAMTS9	ADAMTS9	chr3:64515654-65011471	OvobPre	OvobPost	OK	1.84058	3.69759	1.00643	3.97703	5e-05	0.00124739	yes
ADRB2	ADRB2	ADRB2	chr5:148826592-148828634	OvobPre	OvobPost	OK	3.71494	12.7052	1.77401	6.41632	5e-05	0.00124739	yes
AKAP12	AKAP12	AKAP12	chr6:151239998-151358561	OvobPre	OvobPost	OK	1.56717	9.72316	2.63326	11.0034	5e-05	0.00124739	yes
ALG2	ALG2	ALG2	chr9:99216424-99221964	OvobPre	OvobPost	OK	2.93892	6.33506	1.10807	3.98602	5e-05	0.00124739	yes
ANKRD1	ANKRD1	ANKRD1	chr10:90912099-90921275	OvobPre	OvobPost	OK	13.5629	112.374	3.05057	12.4525	5e-05	0.00124739	yes
ANKRD37	ANKRD37	ANKRD37	chr4:185396685-185425985	OvobPre	OvobPost	OK	6.52913	15.2213	1.22113	1.97382	0.00155	0.0227381	yes
APLN	APLN	APLN	chrX:129645258-129654956	OvobPre	OvobPost	OK	1.35635	3.31409	1.28888	3.86945	5e-05	0.00124739	yes
APOLD1	APOLD1	APOLD1	chr12:12725916-12791465	OvobPre	OvobPost	OK	2.88209	12.2128	2.08321	8.59319	5e-05	0.00124739	yes
ATF3	ATF3	ATF3	chr1:212565333-212620777	OvobPre	OvobPost	OK	5.36011	24.9551	2.219	8.37461	5e-05	0.00124739	yes
B3GNT5	B3GNT5	B3GNT5	chr3:183178003-183428269	OvobPre	OvobPost	OK	2.32024	4.66243	1.00681	3.68264	5e-05	0.00124739	yes
BHLHE40	BHLHE40	BHLHE40	chr3:4896808-4985180	OvobPre	OvobPost	OK	23.436	64.7834	1.4669	7.03323	5e-05	0.00124739	yes
C8orf4	C8orf4	C8ORF4	chr8:40153467-40155308	OvobPre	OvobPost	OK	7.44892	28.2551	1.92341	7.91008	5e-05	0.00124739	yes
CCL2	CCL2	CCL2	chr17:34255276-34257201	OvobPre	OvobPost	OK	2.04156	8.93352	2.12956	4.20187	5e-05	0.00124739	yes
CDKN1A	CDKN1A	CDKN1A	chr6:36676459-36687339	OvobPre	OvobPost	OK	2.55521	9.49419	1.89361	6.16238	5e-05	0.00124739	yes
CDR2	CDR2	CDR2	chr16:22345935-22374617	OvobPre	OvobPost	OK	1.40846	3.12468	1.14959	3.37261	5e-05	0.00124739	yes
CHORDC1	CHORDC1	CHORDC1	chr11:90200429-90223364	OvobPre	OvobPost	OK	4.34472	10.0061	1.20355	4.93522	5e-05	0.00124739	yes
CHST3	CHST3	CHST3	chr10:71964361-72013564	OvobPre	OvobPost	OK	1.41197	3.12186	1.1447	4.32873	5e-05	0.00124739	yes
CNN1	CNN1	CNN1	chr19:11538716-11550323	OvobPre	OvobPost	OK	1.31929	4.83688	1.87432	4.45274	5e-05	0.00124739	yes
CORO1C	CORO1C	CORO1C	chr12:108645110-108731550	OvobPre	OvobPost	OK	6.28664	12.6359	1.00717	4.46294	5e-05	0.00124739	yes
CREB5	CREB5	CREB5	chr7:28299320-28825894	OvobPre	OvobPost	OK	1.08108	2.51868	1.22019	4.4748	5e-05	0.00124739	yes
CSRNP1	CSRNP1	CSRNP1	chr3:39141850-39153611	OvobPre	OvobPost	OK	2.68832	12.0635	2.16587	8.22954	5e-05	0.00124739	yes
CSRP1	CSRP1	CSRP1	chr1:201483529-201507259	OvobPre	OvobPost	OK	10.7881	30.5732	1.50282	6.53294	5e-05	0.00124739	yes
CTGF	CTGF	CTGF	chr6:131948176-131951378	OvobPre	OvobPost	OK	4.98313	19.0895	1.93766	7.55578	5e-05	0.00124739	yes
CX3CL1	CX3CL1	CX3CL1	chr16:57372460-57385048	OvobPre	OvobPost	OK	3.33501	19.7765	2.56803	10.3749	5e-05	0.00124739	yes
CYR61	CYR61	CYR61	chr1:85580760-85583965	OvobPre	OvobPost	OK	7.32279	28.7758	1.97439	8.24	5e-05	0.00124739	yes
DLC1	DLC1	DLC1	chr8:13083362-13514920	OvobPre	OvobPost	OK	3.46753	8.0728	1.21916	4.94293	5e-05	0.00124739	yes
DNAJA1	DNAJA1	DNAJA1	chr9:33025210-33039064	OvobPre	OvobPost	OK	20.2834	58.1005	1.51825	6.92314	5e-05	0.00124739	yes
DYNLL1	DYNLL1	DYNLL1	chr12:120469856-120498495	OvobPre	OvobPost	OK	28.5396	57.9815	1.02262	3.7933	5e-05	0.00124739	yes
EGR1	EGR1	EGR1	chr5:138465491-138469315	OvobPre	OvobPost	OK	2.51759	14.7076	2.54645	9.10469	5e-05	0.00124739	yes
EMP1	EMP1	EMP1	chr12:13196667-13216774	OvobPre	OvobPost	OK	10.0549	24.3381	1.27532	5.74681	5e-05	0.00124739	yes
ERRFI1	ERRFI1	ERRFI1	chr1:8011718-8026333	OvobPre	OvobPost	OK	3.76993	7.8318	1.05481	4.09845	5e-05	0.00124739	yes
ETS2	ETS2	ETS2	chr21:38805306-38824954	OvobPre	OvobPost	OK	7.61628	20.9587	1.46039	6.6328	5e-05	0.00124739	yes
FGF6	FGF6	FGF6	chr12:4434141-4445614	OvobPre	OvobPost	OK	3.66239	8.32428	1.18454	2.82759	5e-05	0.00124739	yes
FLNB	FLNB	FLNB	chr3:58008399-58172255	OvobPre	OvobPost	OK	2.18575	7.51409	1.78147	7.86851	5e-05	0.00124739	yes
FOS	FOS	FOS	chr14:75278777-75282234	OvobPre	OvobPost	OK	4.1677	13.1331	1.65588	5.8933	5e-05	0.00124739	yes
FOSL2	FOSL2	FOSL2	chr2:28384408-28414649	OvobPre	OvobPost	OK	3.85311	10.0337	1.38076	5.75905	5e-05	0.00124739	yes
GADD45B	GADD45B	GADD45B	chr19:2476124-2478259	OvobPre	OvobPost	OK	1.67161	6.39421	1.93553	4.80792	5e-05	0.00124739	yes
GBP1	GBP1	GBP1	chr1:89052303-89065360	OvobPre	OvobPost	OK	2.60126	6.45164	1.31046	4.74092	5e-05	0.00124739	yes
GDNF	GDNF	GDNF	chr5:37812676-37839680	OvobPre	OvobPost	OK	2.15718	7.95522	1.88276	6.89789	5e-05	0.00124739	yes
GRASP	GRASP	GRASP	chr12:52006944-52015889	OvobPre	OvobPost	OK	1.9638	4.19302	1.09434	3.04458	5e-05	0.00124739	yes
HES1	HES1	HES1	chr3:194136141-194138612	OvobPre	OvobPost	OK	5.70486	12.038	1.07734	3.73361	5e-05	0.00124739	yes
HK2	HK2	HK2	chr2:74832654-74893354	OvobPre	OvobPost	OK	3.93036	7.97563	1.02094	4.33683	5e-05	0.00124739	yes
ID1	ID1	ID1	chr20:31605282-31606514	OvobPre	OvobPost	OK	6.86351	18.3859	1.42158	4.77089	5e-05	0.00124739	yes
IFRD1	IFRD1	IFRD1	chr7:112423143-112477203	OvobPre	OvobPost	OK	12.0156	27.6155	1.20056	5.56973	5e-05	0.00124739	yes
IRS2	IRS2	IRS2	chr13:109753836-109786567	OvobPre	OvobPost	OK	1.67927	6.75118	2.00731	8.12747	5e-05	0.00124739	yes
ITGA5	ITGA5	ITGA5	chr12:54353690-54473602	OvobPre	OvobPost	OK	3.65645	8.30112	1.18286	4.47646	5e-05	0.00124739	yes
JOSD1	JOSD1	JOSD1	chr22:38685542-38700454	OvobPre	OvobPost	OK	4.83638	11.5193	1.25206	5.25821	5e-05	0.00124739	yes
JUNB	JUNB	JUNB	chr19:12791495-12793311	OvobPre	OvobPost	OK	1.49618	3.74791	1.3248	3.45232	5e-05	0.00124739	yes
KITLG	KITLG	KITLG	chr12:88492792-88580473	OvobPre	OvobPost	OK	2.95026	11.0524	1.90544	8.10087	5e-05	0.00124739	yes
KLF10	KLF10	KLF10	chr8:102648776-102655902	OvobPre	OvobPost	OK	20.0709	40.7773	1.02266	4.8266	5e-05	0.00124739	yes
KLF3	KLF3	KLF3	chr4:38612700-38701508	OvobPre	OvobPost	OK	3.79418	7.71162	1.02325	4.36102	5e-05	0.00124739	yes
KLF4	KLF4	KLF4	chr9:107484851-107489766	OvobPre	OvobPost	OK	2.19564	9.93402	2.17774	7.75617	5e-05	0.00124739	yes
KLF6	KLF6	KLF6	chr10:3775995-3785281	OvobPre	OvobPost	OK	7.45014	18.4338	1.30701	6.057	5e-05	0.00124739	yes
LINGO4	LINGO4	LINGO4	chr1:151800264-151805442	OvobPre	OvobPost	OK	3.16282	6.4355	1.02484	3.65972	5e-05	0.00124739	yes
MEOX1	MEOX1	MEOX1	chr17:43640389-43661894	OvobPre	OvobPost	OK	2.9056	8.36014	1.52469	5.17786	5e-05	0.00124739	yes
MYC	MYC	MYC	chr8:127736068-127741434	OvobPre	OvobPost	OK	1.24576	4.60778	1.88705	5.26536	5e-05	0.00124739	yes
NEDD9	NEDD9	NEDD9	chr6:11183297-11382348	OvobPre	OvobPost	OK	4.1776	11.0745	1.4065	5.92222	5e-05	0.00124739	yes
NES	NES	NES	chr1:156668762-156677397	OvobPre	OvobPost	OK	14.5285	32.5236	1.1626	5.62804	5e-05	0.00124739	yes
NFIL3	NFIL3	NFIL3	chr9:91409044-91424626	OvobPre	OvobPost	OK	4.63646	16.08	1.79417	6.76857	5e-05	0.00124739	yes
NR4A1	NR4A1	NR4A1	chr12:52022831-52059507	OvobPre	OvobPost	OK	17.5851	109.405	2.63726	12.2056	5e-05	0.00124739	yes
OTUD1	OTUD1	OTUD1	chr10:23439268-23442381	OvobPre	OvobPost	OK	17.7421	46.8641	1.4013	6.59062	5e-05	0.00124739	yes
PDE4B	PDE4B	PDE4B	chr1:65792509-66374579	OvobPre	OvobPost	OK	5.26481	12.0299	1.19218	5.16343	5e-05	0.00124739	yes
PDK4	PDK4	PDK4	chr7:95583496-95596613	OvobPre	OvobPost	OK	58.1327	150.772	1.37494	6.52061	5e-05	0.00124739	yes
PIK3R3	PIK3R3	PIK3R3	chr1:46040139-46185962	OvobPre	OvobPost	OK	2.65335	6.26085	1.23854	4.96027	5e-05	0.00124739	yes
PIM1	PIM1	PIM1	chr6:37170145-37175428	OvobPre	OvobPost	OK	1.81427	11.5635	2.67212	8.94408	5e-05	0.00124739	yes
PLAU	PLAU	PLAU	chr10:73909968-73922777	OvobPre	OvobPost	OK	4.0296	8.2404	1.03208	3.83081	5e-05	0.00124739	yes
PLEKHO2	PLEKHO2	PLEKHO2	chr15:64841882-64868002	OvobPre	OvobPost	OK	1.51765	4.05389	1.41747	4.64973	5e-05	0.00124739	yes
PMP22	PMP22	PMP22	chr17:15229776-15265357	OvobPre	OvobPost	OK	18.1761	47.329	1.38068	6.19507	5e-05	0.00124739	yes
PXDC1	PXDC1	PXDC1	chr6:3722601-3752012	OvobPre	OvobPost	OK	1.46624	4.46292	1.60587	4.58143	5e-05	0.00124739	yes
